row_id,country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,literacy,can_add,can_divide,can_calc_percents,can_calc_compounding,employed_last_year,employment_category_last_year,employment_type_last_year,share_hh_income_provided,income_ag_livestock_last_year,income_friends_family_last_year,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,bank_interest_rate,mm_interest_rate,mfi_interest_rate,other_fsp_interest_rate,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_call,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,poverty_probability
0,C,FALSE,18,TRUE,TRUE,P,Other,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1,0.515
1,C,TRUE,30,TRUE,TRUE,P,Other,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,housewife_or_student,not_working,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0.981
2,A,FALSE,20,TRUE,TRUE,Q,Spouse,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,employed,irregular_seasonal,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0.982
3,A,FALSE,61,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,self_employed,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0.879
4,D,FALSE,26,TRUE,TRUE,X,Spouse,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,housewife_or_student,not_working,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,3,0.796
5,A,TRUE,36,TRUE,TRUE,Q,Spouse,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,housewife_or_student,not_working,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,1,4,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0.915
6,C,FALSE,35,FALSE,TRUE,P,Head,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,irregular_seasonal,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1,0.447
7,D,TRUE,33,TRUE,TRUE,Q,Spouse,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,self_employed,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,1,1,FALSE,FALSE,FALSE,2,TRUE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0.612
8,G,FALSE,42,FALSE,FALSE,X,Head,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,salaried,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,2,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,1,5,FALSE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,0,7,0.404
9,C,FALSE,32,TRUE,TRUE,P,Spouse,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1,0.99
10,A,FALSE,29,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,irregular_seasonal,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,0.949
